BU	bhvadi	parasmaipada	sattAyAm
nI	bhvadi	parasmaipada	prApaRe
ji	bhvadi	parasmaipada	jaye
smf	bhvadi	parasmaipada	cintAyAm
paW	bhvadi	parasmaipada	vyaktAyAM vAci
vad	bhvadi	parasmaipada	vyaktAyAM vAci
eD	bhvadi	atmanepada	vfdDO
laB	bhvadi	atmanepada	prAptO
sev	bhvadi	atmanepada	sevane
vft	bhvadi	atmanepada	vartane
BAz	bhvadi	atmanepada	vyaktAyAM vAci
Ikz	bhvadi	atmanepada	darSane
div	divadi	parasmaipada	krIqAyAm
naS	divadi	parasmaipada	adarSane
kup	divadi	parasmaipada	kroDe
man	divadi	atmanepada	jYAne
yuD	divadi	atmanepada	samprahAre
vid	divadi	atmanepada	sattAyAm
tud	tudadi	parasmaipada	vyaTane
liK	tudadi	parasmaipada	akzaravinyAse
viS	tudadi	parasmaipada	praveSane
juz	tudadi	atmanepada	prItisevanayoH
vij	tudadi	atmanepada	BayacalanayoH
gur	tudadi	atmanepada	udyamane
